card_name,card_number,ungraded,grade_9,psa_10,detail_url
Glaceon ex,26,$5.13,$17.00,$58.67,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/glaceon-ex-26
Leafeon ex,6,$5.40,$17.27,$52.39,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/leafeon-ex-6
Sylveon [Master Ball],40,$47.23,$53.50,$380.00,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/sylveon-master-ball-40
Vaporeon ex,23,$5.00,$16.50,$54.14,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/vaporeon-ex-23
Terapagos ex,180,$19.99,$33.39,$96.50,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/terapagos-ex-180
Palafin ex,151,$85.79,$122.25,$471.76,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/palafin-ex-151
Bloodmoon Ursaluna ex,168,$86.67,$98.50,$415.33,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/bloodmoon-ursaluna-ex-168
Surprise Box,,$68.06,,,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/surprise-box
Eevee [Pokemon Day],74,$4.44,,,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/eevee-pokemon-day-74
Espeon [Master Ball],33,$46.81,$47.00,$187.50,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/espeon-master-ball-33
Terapagos ex,169,$61.03,$51.00,$331.35,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/terapagos-ex-169
Eri,136,$4.47,$24.50,$150.50,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/eri-136
Lugia ex,82,$2.99,$10.50,$48.00,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/lugia-ex-82
Eevee,74,$2.58,$13.39,$42.54,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/eevee-74
Booster Pack,,$18.72,,,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/booster-pack
Walking Wake ex,178,$12.86,$16.85,$125.00,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/walking-wake-ex-178
Espeon,33,$1.97,$10.50,$42.00,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/espeon-33
Glaceon [Master Ball],25,$36.68,$50.00,$179.99,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/glaceon-master-ball-25
Flareon [Master Ball],13,$39.91,$31.25,$148.99,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/flareon-master-ball-13
Atticus,133,$3.00,$10.56,$44.98,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/atticus-133
Mela,140,$3.26,$15.50,$57.00,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/mela-140
Pikachu ex,28,$3.73,$18.67,$66.90,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/pikachu-ex-28
Jolteon [Master Ball],29,$42.00,$26.85,$132.50,https://www.pricecharting.com/game/pokemon-prismatic-evolutions/jolteon-master-ball-29
